Machine Type,Main Part Replaced,Assigned Maintenance Person,Labour Hours
TRUCK 001,Engine,Donald Knuth,11
TRUCK 001,Engine,Donald Knuth…,14
TRUCK 001,Engine,Donald Knuth,13
TRUCK 001,Engine,Donald Knuth,14
TRUCK 001,Engine,Donald Knuth,14
TRUCK 001,Engine,Donald Knuth,14
TRUCK 001,Engine,Don Knuth,13
TRUCK 001,Engine,john carmack,10
TRUCK 01,Engine,John Carmack,9
TRUCK 001,Engine,John Carmack,12
TRUCK 001,Engine,John Carmack,99
TRUCK 001,engine,John Carmack,10
TRUCK 001,Enjine,John Carmark,9
TRUCK 001,Eng,John Carmack,9
TRUCK_001,Wheel,Donald Knuth,5
TRUCK 001,Wheel,{Donald Knuth},3
TRUCK 001,WHEL,Donald Knuth,5
TRUCK 001,Wheel,Donald Knuth,5
TRUCK 001,Wheel,John Carmack,
TRUCK 001,Wheel,John Carmack,3
TRUCK 001,Wheel,John Carmack,3
TRUCK 001,Wheel,John Carmack,6
TRUCK 001,Exhaust,John Carmack,4
TRUCK 001,EXHAUST,Donald Knuth,5
TRUCK 001,Exhaust,Donald Knuth,4
TRUCK 001,Air Conditioning,Donald Knuth,5
TRUCK 001,Air Conditioning,Donald Knuth,7
TRUCK 001,Air Con,Donald Knuth,4
TRUCK 1,Air Conditioning,Donald Knuth,7
TRUCK 001,Air Conditioning,John Carmack,10
TRUCK 001,Air Conditioning,John Carmack,8
TRUCK 001, , ,
TRUCK 001,AC,J. Carmack,7
TRUCK 001,Air Conditioning,John Carmack,9
TRUCK 001,A/C,John Carmack,4
TRUCK 001,AirCon,John Carmack,5
